회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)국영지앤엠,6050,2022,-16.0,-34.0,-4.0,-5.0,193.0,177.0,38.0,34.0,13.0,23.0,54.0,48.0,73.0,3.95,3.2,2.92,3.4,3.2,3.34,0.18,9.211377906706684,-0.1866588783499133,-0.19,5.62,-4.92,15.57,-2.56,10672.0,16.0,39.0,17.0,17.0,36.0,0.9613939517096788,7.83,2.0,2.0,1.0,1.0,2.0,2.0,55.0,30.0,27.09090909090909,1082.9864295909535,-12514.010610716714,817.5217961107193,0.0,1,0,0,0
(주)국전약품,307750,2022,-6.0,-10.0,-3.0,-6.0,202.0,174.0,112.0,77.0,30.0,37.0,30.0,73.0,47.0,9.77,5.0,8.56,2.32,1.79,3.38,0.74,2.77,83.28754650866726,0.0,0.0,0.0,0.0,0.0,24947.0,13.0,77.0,24.0,36.0,53.0,0.5288741053724312,4.73,1.0,2.0,1.0,1.0,2.0,1.0,7.758301333318482,6.0,37.40112994350282,3518.4937970133115,-53966.03447069974,3132.1566614047283,0.0,1,0,0,0
(주)남성,4270,2022,-3.0,-5.0,-2.0,-4.0,81.0,54.0,127.0,106.0,34.0,-9.0,6.0,38.0,44.0,2.68,2.65,3.23,1.21,0.91,2.59,4.8,-4.6,-6.09674795314855,-6.1,-18.71,3.73,-4.09,-17.5,20202.0,7.0,484.0,21.0,16.0,49.0,0.3619266142660454,9.18,1.0,21.0,1.0,0.0,1.0,1.0,55.48339733336303,35.0,18.92156862745098,584.851714988388,-10957.153394885549,712.1610229404206,0.0,1,0,0,0
(주)네오크레마,311390,2022,3.0,3.0,1.0,3.0,136.0,114.0,61.0,57.0,35.0,13.0,20.0,48.0,62.0,-1.7,-1.44,-2.92,2.7,2.19,5.32,-0.72,-6.22,52.79742945432773,52.8,36.98,71.23,-10.65,-4.43,4200.0,5.0,21.0,16.0,-19.0,2.0,0.3407006524297548,7.27,1.0,1.0,0.0,0.0,1.0,1.0,17.0,5.0,-65.80357142857143,1446.688259655814,-200877.6835232824,2640.9093089651374,0.0,1,0,0,0
(주)더 미동,161570,2022,-14.0,-21.0,-5.0,-22.0,48.0,41.0,60.0,60.0,25.0,-20.0,22.0,18.0,62.0,-33.21,-62.93,-69.42,-6.34,-6.97,-30.02,7.579744746702897,-9.080000000000002,-9.295958618427887,-9.3,-46.23483397333363,6.94,-28.35,0.01,-1888.0,-6.0,-1482.0,-25.0,0.0,0.0,0.2439914367931204,13.77,1.0,0.0,1.0,0.0,0.0,1.0,15.0,11.0,-6.169590643274854,853.6906643862652,-7909.247798360889,2180.2442832178244,0.0,1,0,0,0
(주)드림시큐리티,203650,2022,-5.0,-5.0,-4.0,-6.0,53.0,48.0,358.0,215.0,62.8459453333853,-22.0,17.0,25.0,22.0,12.18,2.85,4.32,6.98,6.83,11.26,4.91,-5.879999999999999,12.008423353575004,12.01,-8.54,21.14,18.3,17.38,97786.6112363242,30.604246666703787,62.0,56.60424666670379,7.0,74.0,0.5736275546315642,5.92,2.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0,-70.51282051282051,1629.866041884282,-5492.6803703228325,620.7363894076294,0.0,1,0,0,0
(주)레이,228670,2022,1.0,2.0,1.0,1.0,162.0,127.0,91.0,54.0,37.0,17.0,28.0,45.0,52.0,7.33,4.66,6.17,8.43,8.11,12.56,1.63,7.35,25.316450206217816,25.32,-14.42,104.59,42.8,75.85,44723.0,20.0,89.0,35.0,18.0,50.0,0.5805589012006428,3.57,1.0,3.0,1.0,1.0,1.0,1.0,20.0,5.0,37.16951788491446,2998.1655892231274,-42364.42946758164,2703.228902552131,0.0,1,0,0,0
(주)비엠티,86670,2022,-1.0,-1.0,-1.0,-1.0,157.0,73.0,124.0,75.0,43.0,19.0,4.0,52.0,45.0,16.03,8.14,10.5,9.748857013344322,9.681938106676617,16.21,1.4,8.560000000000002,27.69137833348976,27.69,24.2,31.77,31.63,39.26,44005.0,19.0,61.0,31.0,34.0,56.0,0.5972605431517778,4.88,2.0,2.0,1.0,1.0,1.0,1.0,24.0,17.0,7.9381992541289295,1278.3061566027536,-62213.23322362385,956.8963114436416,0.0,1,0,0,0
(주)서린바이오사이언스,38070,2022,5.0,13.0,2.0,2.0,187.0,146.0,53.0,53.0,13.0,30.0,19.0,64.0,65.0,12.03,9.01,9.74,7.53,6.32,8.38,0.63,-11.1,-1.2428221722299653,-1.24,-14.06,34.94,26.87,9.87,24451.0,18.0,150.0,24.0,41.0,63.0,0.7593027117880111,12.18,1.0,7.0,1.0,1.0,2.0,1.0,31.0,19.0,10.3739982190561,1123.229581335617,-22735.863767849765,967.0591919812996,0.0,1,0,0,0
(주)서울옥션,63170,2022,-11.0,-14.0,-4.0,-14.0,271.0,89.0,57.0,37.0,30.0,40.0,15.0,64.0,64.0,4.3,2.6,8.24,4.31,4.19,13.98,3.06,-16.75,12.02585302112251,12.03,8.31,19.34,-30.22,5.82,19265.0,10.0,39.0,35.0,24.0,53.0,0.2837120134901506,23.51,1.0,1.0,0.0,0.0,1.0,0.0,26.0,16.0,61.92982456140351,2526.5761355851723,-11528.699099105324,5689.749560440485,0.0,1,0,0,0
(주)서전기전,189860,2022,-22.0,-55.0,-7.0,-7.0,127.0,103.0,50.0,46.0,13.0,8.0,0.8791506666592406,39.0,67.0,-8.95,-6.61,-6.3,-5.67,-5.73,-5.74,0.42,-2.66,0.7440412179531162,0.74,2.99,-0.63,-3.33,-2.64,5737.0,11.0,21.0,11.0,-56.0,-28.0,0.9940264042920526,3.64,3.0,2.0,1.0,1.0,2.0,3.0,13.0,10.0,-18.08510638297872,1692.547615580436,-15091.303475738296,1138.1052371831386,0.0,1,0,0,0
(주)씨티케이,260930,2022,-10.0,-25.0,-2.0,-4.0,356.0,332.0,18.0,15.0,6.0,33.0,156.0,46.0,85.0,-11.01,-16.17,-30.52,-7.46,-7.86,-21.94,-0.07,-10.47,-14.219126832962766,-14.22,-4.56,-20.94,-39.72,5.66,4348.0,2.0,11.0,6.0,-487.0,-314.0,0.3881440408595824,5.95,1.0,2.0,1.0,0.0,1.0,1.0,23.0,7.0,-7.475728155339806,690.3341135731499,-11816.167609512537,1503.0138149416832,0.0,1,0,0,0
