회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)강원에너지,114190,2018,-16.0,-28.0,-7.0,-8.0,162.0,161.0,87.0,87.0,26.0,29.0,45.0,75.0,54.0,4.19,2.1,1.99,0.79,0.37,0.4,1.51,16.77,0.7149456241365983,0.71,3.66,-7.26,4.72,-4.03,11600.0,12.0,126.0,14.0,15.0,40.0,0.9153906732907686,1.97,1.0,6.0,1.0,1.0,4.0,1.0,48.0,15.0,21.07692307692308,838.6889645420008,-4138.891500464215,490.13580281045313,1.0,1,0,0,0
(주)고바이오랩,348150,2022,-51.0,-105.0,-12.0,-125.0,1146.0,1135.0,30.0,9.0,11.0,75.0,117.0,83.0,77.0,-26.11,-21.43,-201.51,-15.84,-17.71,-174.84,-3.89,-5.039999999999999,17.708481630538305,17.71,3.91,221.77,200.36109543946208,250.68,-15851.0,-13.0,-104.0,-137.0,0.0,0.0,0.0936462775813307,25.76,0.0,1.0,0.0,0.0,1.0,0.0,10.0,4.0,-12.585421412300684,2188.553540959991,-12618.276768126789,18000.66810120686,1.0,1,0,0,0
(주)골드앤에스,35290,2014,-2.0,-3.0,-1.0,-2.0,60.0,48.0,285.0,207.0,50.0,-21.0,1.0,32.0,26.0,-90.29,-19.51,-29.79,-6.24,-6.29,-9.84,6.92,-3.760000000000005,-9.552472221171966,-9.55,-4.56,-11.76,-20.89,-3.55,4010.0,9.0,18.0,13.0,-232.0,-39.0,0.6724313159292523,6.26,3.0,1.0,1.0,1.0,1.0,2.0,30.0,25.0,-4.253164556962025,3380.234324986276,-41204.35896401159,1305.3928227460922,1.0,1,0,0,0
(주)광무,29480,2019,-5.0,-8.0,-3.0,-5.0,109.0,107.0,176.0,158.0,38.0,5.0,48.0,62.0,36.0,-38.68,-15.46,-17.6,-5.83,-6.58,-8.26,1.9,12.990000000000002,122.07511476255344,122.08,127.19,114.12,58.11,-53.29,6253.0,10.0,164.0,17.0,-103.0,-67.0,0.5778282101045018,5.34,1.0,6.0,1.0,1.0,2.0,1.0,52.0,28.0,-6.451612903225806,2663.936263341616,-24985.95201143054,1668.000220041789,1.0,1,0,0,0
(주)기가레인,49080,2017,-3.0,-4.0,-1.0,-2.0,93.0,62.0,105.0,87.0,37.0,-3.0,10.0,40.0,49.0,-1.88,-0.62,-0.92,3.22,3.1,5.23,2.47,14.41,16.628791450142717,16.63,56.78,-0.28,32.72,-7.8,23652.0,13.0,36.0,24.0,-4.0,44.0,0.5512973351688103,6.21,2.0,1.0,1.0,1.0,1.0,2.0,24.0,11.0,-294.5,1614.200161068474,-46819.94953261734,1429.421307301068,1.0,1,0,0,0
(주)나노,187790,2017,-2.0,-2.0,-1.0,-1.0,113.0,58.0,104.0,84.0,34.0,5.0,13.0,47.0,49.0,-0.15,0.11,0.12,1.93,1.9,2.27,2.32,75.99,9.747956409474282,9.75,24.86,-0.8,51.72,-1.75,12356.0,13.0,30.0,17.0,1.0,51.0,0.7981387865300954,6.79,4.0,2.0,1.0,1.0,1.0,2.0,11.0,10.0,-13.513513513513514,874.5634460358078,-25584.218121406582,537.286036373153,1.0,1,0,0,0
(주)나노브릭,286750,2021,-2.0,-5.0,-1.0,-7.0,116.0,103.0,166.0,156.0,30.0,9.0,17.0,68.0,38.0,-21.28,-11.04,-40.32,-5.69,-5.93,-23.34,3.87,-20.630000000000003,49.14873584102485,49.15,95.22,-0.51,-19.04,-2.54,965.0,3.0,10.0,14.0,-293.0,-189.0,0.2122903432964999,4.49,0.0,1.0,0.0,0.0,1.0,0.0,17.0,5.0,-10.944444444444445,2953.305877772148,-12695.277140418551,5232.383701640264,1.0,1,0,0,0
(주)나이벡,138610,2014,-15.0,-19.0,-10.0,-28.0,42.0,29.0,179.0,144.0,50.0,-30.0,17.0,22.0,36.0,-66.42,-24.0,-75.65,-19.19,-19.39,-63.2,10.82,-13.97,-17.041899453788243,-17.04,-28.96,-13.0,110.66,-7.53,-214.0,-2.0,-3.0,-4.0,0.0,0.0,0.3382788252076678,8.37,2.0,1.0,0.0,0.0,0.0,1.0,20.0,13.0,-6.957773512476008,5815.602050017917,-32679.347747919182,6171.458058493335,1.0,1,0,0,0
(주)네온테크,306620,2022,-10.0,-23.0,-5.0,-9.0,113.0,67.0,101.0,80.0,22.0,5.0,24.0,45.0,50.0,-20.03,-10.47,-15.23,-4.36,-4.58,-7.11,1.72,-5.98,22.671306892830536,22.67,5.22,41.55,6.03,85.62,6277.0,7.0,13.0,12.0,-128.0,-37.0,0.5842507537971098,5.69,2.0,1.0,1.0,1.0,1.0,1.0,7.751110611062532,6.0,-15.534883720930232,3117.728344093961,-98999.6987870748,2656.9285195491248,1.0,1,0,0,0
(주)네이처셀,7390,2016,-3.0,-7.0,-1.0,-2.0,154.0,105.0,55.0,34.0,16.0,12.0,30.0,34.0,65.0,-9.81,-9.67,-12.03,-6.35,-7.36,-13.55,-0.16,-3.9300000000000006,14.56801546965191,14.57,-9.71,32.6,-12.33,15.79,4927.0,9.0,46.0,18.0,-65.0,-31.0,0.5086288607654927,8.03,2.0,3.0,1.0,1.0,1.0,1.0,53.0,32.0,-72.734375,6952.658196820486,-110293.53107832032,8829.311114472514,1.0,1,0,0,0
(주)넥스턴바이오사이언스,89140,2022,1.0,2.0,1.0,4.0,223.0,188.0,85.0,18.0,38.0,12.0,54.0,22.0,54.0,-4.66,-4.25,-16.17,1.62,-2.03,-11.86,-1.64,0.1200000000000001,44.122718950782186,44.12,-13.7,77.6,70.81,126.09,4065.0,2.0,14.0,14.0,-115.0,-77.0,0.1447665181876051,6.65,1.0,1.0,0.0,0.0,0.0,1.0,24.0,18.0,-35.3125,608.2352324847889,-55304.27458546601,2271.6473405249226,1.0,1,0,0,0
