회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,부실판단,도입기,성숙기,성장기,쇠퇴기
주식회사성희산업,75992,2018,75.47,120.92,49.04,47.82,180.55,164.58,185.52,157.53,40.56,44.44,4.33,99.61,35.02,45.79,13.11,15.79,17.46,17.46,21.03,0.79,0.0,0.0,-32.01,-32.08,-7.35,-70.42,-45.1,6529.56,73.48,197148.52,71.65,22.04,33.62,0.0,0.0,0.91,1950.35,0.83,0.83,255.46,0.83,9.0,0.0,1,0,0,0
주식회사세라,74702,2022,2.19,2.73,1.86,1.88,67.61,52.41,560.83,530.15,67.96,-25.98,0.5,54.24,15.13,7.3,1.11,1.08,2.97,2.97,2.93,2.61,0.0,0.0,5.08,18.44,-7.32,-2.64,-7.29,3571.63,15.26,38.43,15.46,6.98,72.38,0.0,3.29,2.74,2.39,1.02,1.01,2.08,1.97,11.0,0.0,1,0,0,0
주식회사세명하이트,89062,2022,-5.67,-11.27,-2.44,-2.05,173.64,97.64,75.45,63.97,21.65,26.85,24.92,63.31,57.0,-0.48,-0.31,-0.24,1.93,1.79,1.48,0.38,0.0,0.0,3.26,-5.18,22.01,-11.8,35.74,3131.3,10.34,46.61,8.67,-2.72,66.17,0.0,5.67,3.02,5.33,1.32,1.21,3.57,1.83,18.0,0.0,1,0,0,0
주식회사세우이엔지,76727,2022,-3.81,-3.92,-2.71,-82.9,37.45,37.45,247.19,24.95,69.14,-4.49,0.24,2.69,28.8,6.37,2.37,54.38,0.66,0.38,8.67,6.88,0.0,0.0,99.82,-82.23,178.85,23.51,179.1,1436.77,3.1,3.19,94.8,57.36,88.67,0.0,15.6,0.37,0.05,0.04,0.04,0.05,0.37,17.0,0.0,1,0,0,0
주식회사세일펫,86796,2022,-3.71,-3.85,-2.92,-12.52,43.56,10.26,370.01,180.6,75.79,-21.69,1.95,16.74,21.28,-15.79,-3.7,-15.66,-1.2,-1.21,-5.19,12.09,0.0,0.0,-0.05,5.95,-1.18,-6.61,-1.57,759.67,4.82,5.91,20.7,-75.65,20.41,0.0,7.87,6.33,0.28,0.24,0.23,0.28,1.43,18.0,0.0,1,0,0,0
주식회사세종건설,101121,2022,-13.81,-24.86,-9.2,-15.26,146.91,33.94,199.89,197.09,37.02,30.83,1.36,96.55,33.35,-13.54,-5.37,-8.03,-3.01,-3.32,-4.99,2.76,0.0,0.0,22.75,20.88,115.77,114.21,-34.17,270.31,1.11,587.39,1.84,-436.31,-238.07,0.0,36.85,2.8,253.42,0.67,0.66,23.91,0.68,10.0,0.0,1,0,0,0
주식회사세종국토개발,86793,2022,-29.46,-39.06,-21.76,-61.0,194.03,26.5,282.6,194.65,55.71,47.84,16.75,98.71,26.14,21.76,6.61,14.4,10.74,10.73,23.38,5.41,0.0,0.0,80.35,81.35,26.53,-33.17,203.8,4805.16,10.9,3622.11,30.55,47.14,83.03,0.0,281.47,1.86,178.38,0.46,0.46,30.96,0.47,16.0,0.0,1,0,0,0
주식회사세종플라텍,40195,2014,-9.61,-10.98,-7.39,-14.41,34.38,28.34,332.81,291.5,67.32,-44.19,0.53,23.16,23.1,-14.06,-3.45,-6.81,-0.96,-0.98,-1.94,6.56,0.0,0.0,-2.74,1.74,-4.02,-5.15,-4.48,1523.12,7.62,10.74,14.85,-45.85,51.39,0.0,3.84,2.69,0.71,0.51,0.51,0.65,2.23,33.0,0.0,1,0,0,0
주식회사세진레미콘,83101,2022,-6.17,-10.09,-4.93,-4.64,112.67,63.02,400.11,201.81,48.89,5.11,3.39,45.47,20.0,15.14,3.1,2.65,2.53,2.53,2.37,1.76,0.0,0.0,0.87,2.52,-0.46,-1.64,-4.81,1316.58,12.29,38.03,11.57,22.9,59.06,0.0,4.59,3.83,3.01,1.17,1.07,1.94,2.37,9.0,0.0,1,0,0,0
주식회사센트롤,80636,2018,-2.21,-3.19,-2.03,-7.48,54.48,37.31,1128.11,579.05,63.51,-21.46,8.44,25.69,8.14,-143.41,-42.93,-129.26,-41.17,-41.32,-136.69,7.55,0.0,0.0,25.93,8.38,33.4,-43.81,815.06,-2898.52,-16.36,-96.5,-60.35,0.0,0.0,0.0,6.6,1.89,1.6,0.33,0.3,0.42,1.1,11.0,0.0,1,0,0,0
주식회사소봉하우징,92266,2022,2.06,2.09,1.9,79.69,13.59,13.59,1234.23,1215.02,90.85,-78.69,0.08,12.38,7.49,4.16,0.38,12.8,0.94,0.94,36.96,27.79,0.0,0.0,14.59,28.34,12.88,10.56,12.85,1044.43,2.0,2.38,83.82,15.28,93.91,0.0,0.0,0.22,0.03,0.03,0.03,0.03,0.22,7.0,0.0,1,0,0,0
주식회사송윤화학,83054,2021,-1.86,-2.63,-1.86,-2.42,47.23,34.81,26761.59,22317.884570988743,70.64,-45.95,0.14,41.12,0.37,0.0,4.56,5.72,7.3,7.3,9.15,3.43,0.0,0.0,8.65,29.42,-2.31,-1.63,-2.31,2213.46,13.83,23.49,18.07,31.68,71.96,0.0,3.15,3.04,1.29,0.8,0.8,1.29,2.1,8.0,0.0,1,0,0,0
주식회사송정,45335,2022,-2.74,-3.18,-1.3,-2.18,88.21,22.05,89.9,78.98,40.91,-4.9,0.09,36.69,52.66,2.87,1.51,2.5,2.88,2.82,4.69,1.98,0.0,0.0,1.94,9.14,-1.81,27.6,-1.63,1577.48,10.67,16.88,17.92,13.96,60.19,0.0,7.66,5.11,0.93,0.6,0.6,0.93,1.69,22.0,0.0,1,0,0,0
주식회사송지오인터내셔널,92116,2022,-3.0,-10.46,-2.65,-2.54,98.76,57.02,765.29,594.23,25.36,-0.85,12.44,67.82,11.56,31.99,3.96,3.05,1.6,1.32,1.1,0.18,0.0,0.0,37.07,30.57,53.14,19.36,-5.29,5008.31,24.84,131.64,23.77,12.83,54.1,0.0,7.13,2.6,5.39,1.3,1.21,3.93,1.74,21.0,0.0,1,0,0,0
주식회사수덕산업기계,67245,2019,3.05,3.69,2.36,7.95,79.03,53.66,343.17,127.41,64.15,-6.03,0.7,22.72,22.56,-16.2,-3.93,-13.37,-1.38,-1.89,-6.46,6.61,0.0,0.0,-3.0,-2.57,-3.12,-24.04,-1.43,230.89,1.2,1.69,4.04,-330.71,54.76,0.0,16.58,1.99,0.41,0.29,0.29,0.38,1.29,22.0,0.0,1,0,0,0
주식회사수미,90902,2022,-1.82,-2.04,-1.3,-1.22,75.27,27.48,247.56,181.74,63.56,-12.93,11.6,39.36,28.77,5.25,1.54,1.39,4.3,4.2,3.83,2.38,0.0,0.0,6.64,20.59,-0.8,4.47,-0.22,4786.44,26.82,47.88,25.25,5.49,39.76,0.0,18.13,6.16,1.89,1.11,1.1,1.74,2.95,11.0,0.0,1,0,0,0
주식회사순영종합건설,94664,2022,-36.87,-45.17,-14.37,-583.86,280.75,234.12,63.87,51.05,31.81,56.31,11.22,87.47,61.03,-13.94,-9.12,-371.53,-5.28,-5.59,-244.92,21.75,0.0,0.0,-13.48,-8.06,-38.69,-97.97,-50.11,-995.26,-3.96,-69.08,-161.02,0.0,0.0,0.0,0.03,0.03,0.29,0.02,0.02,0.15,0.03,7.0,0.0,1,0,0,0
주식회사쉴드인터내셔널,100543,2022,-11.91,-30.51,-2.74,-1.09,718.02,718.02,29.85,13.64,8.97,64.94,133.36,75.44,77.01,6.56,4.91,1.95,4.31,4.25,1.86,0.05,0.0,0.0,-15.96,-26.81,54.42,-44.24,101.66,6948.89,231.43,20617.18,92.31,2.11,5.34,0.0,4.03,2.81,36.22,2.52,2.29,12.39,2.81,16.0,0.0,1,0,0,0
