회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
국성폴리텍(주),60713,2022,4.97,5.33,3.89,3.52,80.26,44.34,361.9,169.14,73.01,-7.23,9.02,29.39,21.65,4.66,1.69,0.89,3.94,3.87,3.18,1.74,-0.0823649601152084,22.26919423397788,22.27,8.68,28.98,-10.82,41.85,2466.26,10.85,37.16,9.81,9.1,56.84,1.105818532889698,31.81,6.23,2.32,1.89,1.22,1.76,3.92,22.0,1,0,0,0,0.0
(주)조군,86364,2022,-5.73,-6.6,-5.14,-5.9,13.51,8.38,864.81,736.78,77.79,-66.04,2.86,10.32,10.36,-71.39,-11.14,-13.21,-8.34,-8.38,-9.95,3.25,-0.5512224248068671,-6.263583229668806,-6.26,-29.76,-2.51,-24.16,-0.92,1383.15,10.9,12.3,12.51,-105.56,-32.85,0.8710314135869828,33.72,12.35,0.98,0.84,0.84,0.96,6.96,13.0,1,0,0,0,0.0
(주)토모,86635,2022,-2.74,-3.77,-2.21,-1.72,86.9,56.14,421.6,287.94,58.75,-7.23,25.09,47.97,19.17,14.49,2.88,2.01,4.81,4.55,3.23,0.95,-0.0287335891893098,20.5597656436902,20.56,59.02,-1.43,-25.29,-2.36,2104.27,12.56,25.69,9.76,20.62,47.36,1.2873659591526447,13.87,5.5,2.6,1.43,1.41,2.46,3.29,18.0,1,0,0,0,0.0
(주)에이치케이씨,20019,2022,-10.43,-17.28,-8.75,-9.65,99.24,35.58,521.44,487.31,50.64,-0.6,10.08,77.82,16.09,19.62,3.79,3.25,7.15,6.53,5.68,0.92,0.1306365890978564,72.9599151124552,72.96,138.18,-11.78,67.82,-1.85,6174.35,10.41,104.44,11.48,28.32,68.77,0.9067361136482648,98.07,5.75,9.01,1.16,1.15,3.83,1.64,57.0,1,0,0,0,0.0
(주)세광토건,81666,2022,-33.82,-41.79,-29.25,-492.23,199.93,33.0,640.51,210.93,69.99,28.46,0.68,56.95,13.5,1.35,0.21,3.05,2.18,2.14,31.51,28.45,0.4321189897020089,33.42308252855916,33.42,-22.44,930.2735999999804,673.36,2514.323799999933,959.28,4.83,11.22,81.25,3.76,54.24,0.0594301551471345,0.8,0.45,0.27,0.07,0.07,0.27,0.09,16.0,1,0,0,0,0.0
주식회사비케이브,94129,2022,-3.55,-10.54,-1.49,-0.98,191.89,51.58,72.58,67.35,14.18,35.86,3.58,74.89,57.95,29.1,18.26,9.68,20.75,20.6,11.22,0.08,-0.2354402881067886,52.13000331724332,52.13,45.19,77.44,26.3,64.52,35112.90919999999,28.64,167.36,18.83,51.41,74.43,1.5211859668634948,12.3,6.2,9.45,1.89,1.84,7.75,2.41,10.0,1,0,0,0,0.0
(주)삼성의료설비,49162,2019,-0.47,-0.59,-0.21,-0.43,90.68,66.7,78.67,56.54,34.92,-2.95,4.42,28.69,55.97,0.82,0.58,0.96,0.27,0.24,0.51,1.45,-0.0040249454840077,-3.2465365346520025,-3.25,-9.63,-0.42,-19.67,-1.56,1209.08,8.03,17.86,16.8,5.71,37.92,0.4778404779522465,2.58,1.99,1.05,0.6,0.47,0.67,1.58,27.0,1,0,0,0,0.0
주식회사영일피혁,46020,2022,0.62,0.76,0.23,0.61,176.64,176.64,56.72,56.11,29.57,27.44,19.85,63.24,63.81,10.18,9.15,16.87,3.81,3.38,8.78,1.18,-0.0232189332092522,0.0,7.07,4.97,10.89,16.15,2.84,16112.84,8.95,172.69,24.02,70.23,85.76,0.0,3.44,0.6,7.29,0.54,0.39,1.07,0.6,19.0,1,0,0,0,0.0
(주)도고산업개발,63521,2019,7.1,10.47,4.04,8.0,68.64,35.53,131.75,123.57,38.55,-16.72,0.59,36.6,43.15,-2.98,-1.36,-2.58,1.36,1.16,2.34,3.15,-0.0805984699062278,-3.5911064631293663,-3.59,3.32,-7.18,-54.91,-5.28,1450.28,11.9,21.22,23.58,-10.95,61.48,0.504712059068846,15.71,2.78,0.84,0.53,0.5,0.77,1.4,18.0,1,0,0,0,0.0
무송지오씨(주),51903,2014,-0.87,-1.23,-0.62,-0.72,107.44,72.67,254.46,205.61,50.48,4.31,2.44,62.32,28.21,26.97,8.62,7.38,7.5,7.03,6.91,2.47,0.0462089260380116,44.61055215966843,44.61,64.18,20.8,5.72,-10.86,5518.69,16.55,77.65,19.23,38.37,75.71,0.8606070685182934,4.04,2.64,3.81,1.17,1.02,2.5,1.72,23.0,1,0,0,0,0.0
주식회사코리아보드게임즈,66720,2022,0.79,1.13,0.27,0.27,206.23,68.95,52.57,52.57,23.98,36.6,13.19,71.06,65.54,16.64,11.04,10.08,15.26,15.24,14.01,0.67,0.0287349395672599,18.010817666410126,18.01,22.77,7.75,27.43,1.3,20535.83,32.56,174.82,32.4,31.11,51.17,1.0048526193065666,6.1,4.57,5.43,1.1,1.09,3.6,1.56,20.0,1,0,0,0,0.0
뉴글로벌홀딩스주식회사,78097,2022,-0.87,-1.06,-0.84,-12.11,4.1,4.1,3325.08,1640.37,79.39,-45.93,2.83,1.96,2.92,11.95,0.33,4.74,2.26,2.26,32.16,26.73,-0.2132319348103731,2.438341765692876,2.44,-30.49,3.42,2.62,3.42,572.91,4.5,4.59,64.79,7.31,87.42,0.0694652920595069,0.0,2.9,0.07,0.07,0.07,0.07,2.9,9.0,1,0,0,0,0.0
농업회사법인주식회사제우스,91587,2022,-3.77,-4.38,-2.49,-7.93,91.28,51.76,193.62,138.21,56.82,-4.1,1.5,42.97,34.06,-3.72,-1.31,-3.8,0.94,0.94,2.9,5.94,-0.0933130387957692,6.7404585972087965,6.74,3.79,9.08,-38.75,6.62,1870.86,9.37,18.93,29.88,-12.73,35.72,0.3135788264964092,1.47,1.21,0.65,0.35,0.32,0.57,0.74,10.0,1,0,0,0,0.0
(주)동원에이스건설,95027,2022,0.13,0.17,0.09,0.12,337.42,143.25,259.24,73.77,55.15,48.76,21.09,69.29,27.84,-17.95,-7.58,-6.9,-2.81,-3.32,-3.82,2.16,0.0681357557791895,20.270532227882114,20.27,14.15,36.83,-43.66,-24.92,-13.69,-0.06,-1.0,-0.08,0.0,0.0,0.795371415981978,3.54,2.65,11.18,1.1,0.87,2.99,1.22,16.0,1,0,0,0,0.0
(주)휴비스,97640,2022,-7.66,-15.36,-4.75,-4.49,154.52,98.19,163.05,111.76,30.9,23.16,7.93,65.65,38.02,49.78,16.64,13.06,18.08,17.98,14.22,0.82,-0.1660158697697386,48.76988625192044,48.77,84.54,8.56,74.68,-0.5,6320.7,21.39,72.7,20.24,64.53,76.6,1.0569803567618616,3.57,2.86,3.58,1.27,1.26,3.2,2.09,15.0,1,0,0,0,0.0
(주)유니정보,97811,2022,-4.21,-5.2,-3.17,-2.77,65.56,19.34,304.81,282.37,60.92,-24.02,0.75,45.73,24.7,4.18,1.0,0.71,2.35,2.34,1.9,1.31,-0.0146126110079142,16.519523777466578,16.52,-1.84,38.31,6.17,40.22,2161.54,14.88,38.98,13.02,5.42,31.8,1.1432222927606814,8.5,7.68,2.53,1.41,1.23,2.45,2.48,12.0,1,0,0,0,0.0
(주)오성기업,64083,2022,6.11,12.55,2.66,2.46,108.06,71.87,77.21,77.21,21.23,3.51,14.27,47.08,56.43,0.4,0.26,0.21,0.43,0.42,0.37,0.54,-0.1035349299302381,9.438790895024672,9.44,3.01,15.87,2.54,11.39,3003.63,11.31,26.03,10.46,2.02,51.95,1.0820037453211735,4.89,3.33,2.62,1.24,1.13,2.2,2.33,25.0,1,0,0,0,0.0
서신식품(주),64804,2022,8.41,9.03,7.67,9.19,19.29,17.47,1048.45,996.89,84.99,-70.06,0.39,16.75,8.71,-91.42,-15.25,-17.27,-12.66,-12.68,-15.84,1.71,-1.0612909389472038,-7.952367022998636,-7.95,-34.44,0.19,-32.47,-1.52,43.43,0.43,0.6,0.52,-1253.8443,-512.6746999999999,0.8350891868908197,7.9,4.35,1.11,0.88,0.8,1.0,3.95,33.0,1,0,0,0,0.0
(주)진도토건,90107,2022,-2.61,-29.38,-1.77,-0.44,138.38,136.22,211.4,203.71,6.04,25.11,8.99,90.52,32.11,17.96,6.86,1.57,8.0,7.72,1.83,-0.01,0.0376171089593377,11.80934648655629,11.81,9.1,46.64,36.62,38.36,3630.22,15.01,476.6,3.76,41.69,57.84,3.988862039761328,5.96,4.67,147.07,4.38,4.21,50.05,4.6,33.0,1,0,0,0,0.0
(주)에스앤씨산업,58318,2022,3.5,5.0,0.54,1.02,289.82,257.69,18.08,17.63,10.72,28.35,61.14,43.28,84.69,3.18,3.61,5.15,3.46,2.14,3.87,-2.08,-0.0332499756160651,11.997115645300044,12.0,39.91,-2.8,6.06,11.62,6761.98,9.07,24.62,17.29,29.77,41.89,0.524188575982828,3.34,1.59,1.36,0.7,0.55,0.91,1.41,24.0,1,0,0,0,0.0
