회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,기업수명주기,부실판단
(주)CMG제약,58820,2022,19,79,2,6,617,520,15,12,3,53,20,63,87,-0.21,-0.24,-0.47,2.4,1.45,3.63,-2.37,-1.94,7.072078214313208,7.07,7.64,6.1,18.31,22.79,15933,7,107,19,-2,0.3854321723600449,4.04,1,2,1,0,1,1,23.0,23.0,성장기,0.0
(주)ES큐브,50120,2020,3,270,3,24,62,60,929,754,1,-28,2,45,10,-39.39,-4.61,-31.35,1.76,1.75,12.79,4.05,-17.63,54.08478724872655,54.08,-10.26,274.24,84.57,69.21,3768,1,13,5,-671,0.112845967597423,0.39,0,3,0,0,0,0,47.0,22.0,쇠퇴기,1.0
(주)MH에탄올,23150,2022,6,9,5,19,28,23,369,200,51,-31,8,12,21,7.71,2.73,10.75,5.02,4.88,19.8,10.0,-1.81,-0.8905199360497233,-0.89,1.27,-1.17,8.48,-2.46,54043,12,14,49,22,0.2474573172430802,10.27,3,0,0,0,0,2,46.0,28.0,성숙기,0.0
(주)강스템바이오텍,217730,2017,-47,-75,-23,-117,396,369,93,26,30,40,61,53,52,-46.19,-32.15,-126.27,-24.25,-24.87,-128.52,12.56,-8.64,-0.5117642219454338,0.0,0.0,0.0,0.0,0.0,-646,-1,-11,-7,0,0.1934986559772828,20.71,0,1,0,0,0,0,14.0,9.0,쇠퇴기,1.0
(주)강원에너지,114190,2018,-16,-28,-7,-8,162,161,87,87,26,29,45,75,54,4.19,2.1,1.99,0.79,0.37,0.4,1.51,16.77,0.7149456241365983,0.71,3.66,-7.26,4.72,-4.03,11600,12,126,14,15,0.9153906732907686,1.97,1,6,1,1,4,1,48.0,15.0,도입기,1.0
(주)고려시멘트,198440,2022,0,7,0,0,402,335,25,9,1,22,38,29,80,-6.85,-6.35,-11.1,-8.75,-8.9,-18.07,-0.18,-11.28,-6.554052413468948,-6.55,-17.68,-1.08,6.44,4.23,2503,2,4,4,-310,0.5096463501787742,3.45,2,1,1,0,1,2,10.0,10.0,쇠퇴기,0.0
(주)고바이오랩,348150,2022,-51,-105,-12,-125,1146,1135,30,9,11,75,117,83,77,-26.11,-21.43,-201.51,-15.84,-17.71,-174.84,-3.89,-5.039999999999999,17.708481630538305,17.71,3.91,221.77,301.12,250.68,-15851,-13,-104,-137,0,0.0936462775813307,25.76,0,1,0,0,1,0,10.0,4.0,도입기,1.0
(주)골드앤에스,35290,2014,-2,-3,-1,-2,60,48,285,207,50,-21,1,32,26,-90.29,-19.51,-29.79,-6.24,-6.29,-9.84,6.92,-3.760000000000005,-9.552472221171966,-9.55,-4.56,-11.76,-20.89,-3.55,4010,9,18,13,-232,0.6724313159292523,6.26,3,1,1,1,1,2,30.0,25.0,도입기,1.0
(주)광무,29480,2019,-5,-8,-3,-5,109,107,176,158,38,5,48,62,36,-38.68,-15.46,-17.6,-5.83,-6.58,-8.26,1.9,12.990000000000002,122.07511476255344,122.08,127.19,114.12,58.11,-53.29,6253,10,164,17,-103,0.5778282101045018,5.34,1,6,1,1,2,1,52.0,28.0,도입기,1.0
(주)구영테크,53270,2022,13,21,8,7,74,46,188,147,39,-13,7,38,35,4.98,1.83,1.45,3.38,3.32,2.81,1.54,0.6900000000000004,7.729369198375123,7.73,20.42,1.27,34.81,1.8,58146,24,45,21,7,1.1419635290152856,9.61,5,2,1,1,2,3,35.0,22.0,성숙기,0.0
(주)국영지앤엠,6050,2022,-16,-34,-4,-5,193,177,38,34,13,23,54,48,73,3.95,3.2,2.92,3.4,3.2,3.34,0.18,13.95,-0.1866588783499133,-0.19,5.62,-4.92,15.57,-2.56,10672,16,39,17,17,0.9613939517096788,7.83,2,2,1,1,2,2,55.0,30.0,도입기,0.0
(주)국전약품,307750,2022,-6,-10,-3,-6,202,174,112,77,30,37,30,73,47,9.77,5.0,8.56,2.32,1.79,3.38,0.74,2.77,83.28754650866726,0.0,0.0,0.0,0.0,0.0,24947,13,77,24,36,0.5288741053724312,4.73,1,2,1,1,2,1,6.0,6.0,도입기,0.0
(주)그린플러스,186230,2022,8,10,4,5,156,124,75,51,35,16,45,46,57,-4.46,-3.76,-4.24,3.62,3.46,4.33,1.7,4.170000000000001,4.244663682543359,4.24,-22.01,45.5,-0.28,50.28,11708,11,29,14,-30,0.7832747681079876,5.02,2,2,1,1,2,2,27.0,5.0,성장기,0.0
(주)기가레인,49080,2017,-3,-4,-1,-2,93,62,105,87,37,-3,10,40,49,-1.88,-0.62,-0.92,3.22,3.1,5.23,2.47,14.41,16.628791450142717,16.63,56.78,-0.28,32.72,-7.8,23652,13,36,24,-4,0.5512973351688103,6.21,2,1,1,1,1,2,24.0,11.0,도입기,1.0
(주)기산텔레콤,35460,2017,-2,0,-1,-1,232,147,100,72,0,47,62,83,50,-13.79,-8.26,-8.73,-4.14,-4.48,-5.09,0.41,-7.169999999999999,-5.48798744341276,-5.49,-7.29,4.6,7.26,-6.62,5297,8,264,8,-105,0.9049043762552782,3.24,2,29,1,1,6,1,30.0,25.0,성숙기,1.0
(주)나노,187790,2017,-2,-2,-1,-1,113,58,104,84,34,5,13,47,49,-0.15,0.11,0.12,1.93,1.9,2.27,2.32,75.99,9.747956409474282,9.75,24.86,-0.8,51.72,-1.75,12356,13,30,17,1,0.7981387865300954,6.79,4,2,1,1,1,2,11.0,10.0,도입기,1.0
(주)나노브릭,286750,2021,-2,-5,-1,-7,116,103,166,156,30,9,17,68,38,-21.28,-11.04,-40.32,-5.69,-5.93,-23.34,3.87,-20.630000000000003,49.14873584102485,49.15,95.22,-0.51,-19.04,-2.54,965,3,10,14,-293,0.2122903432964999,4.49,0,1,0,0,1,0,17.0,5.0,도입기,1.0
