회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(주)광진,091208,2018/12,NA,863500,,,-13.32,-14.16
(주)광진,091208,2019/12,QS,404335,,,3.74,4.14
(주)광진,091208,2020/12,UQ,2766961,,,7.6,10.58
(주)광진,091208,2021/12,UQ,-1695269,,,-0.85,3.25
(주)광진,091208,2022/12,UQ,-200667,,,0.44,2.04
(주)글라세움,085843,2017/12,NA,-1697194,,,-10163.37,999999999
(주)글라세움,085843,2018/12,UQ,-2689791,,,-2463.57,999999999
(주)글라세움,085843,2019/12,UQ,-4715610,,,-10988.16,999999999
(주)글라세움,085843,2020/12,UQ,-4428786,-4428786,,-918.74,999999999
(주)글라세움,085843,2021/12,UQ,-5509748,-5509748,,-495.09,999999999
(주)글라세움,085843,2022/12,UQ,-5607924,-5607924,,-568.12,999999999
(주)글로벌의학연구센터,103147,2022/12,UQ,4914546,4914546,,2.8,-4.86
(주)내츄럴엔도텍,063634,2012/12,UQ,3031250,3031250,,1132.21,999999999
(주)넥셀,080535,2016/12,NA,-793080,,,-159.68,-175.95
(주)넥셀,080535,2017/12,UQ,-598306,,,-95.27,-69.88
(주)넥셀,080535,2018/12,UQ,-1682353,,,-777.76,-1649.15
(주)넥셀,080535,2019/12,UQ,-3897275,,,-1078.28,999999999
(주)넥셀,080535,2020/12,UQ,-5652332,,,-10881.14,999999999
(주)넥셀,080535,2021/12,UQ,-8455579,-8455579,-8500558,-7.18,-5.1
(주)넥셀,080535,2022/12,UQ,-7112218,-7112218,-8450385,-4.31,-6.06
(주)넥스트젠바이오사이언스,098415,2021/12,UQ,-7230974,-7230974,,-4.57,-12.79
(주)넥스트젠바이오사이언스,098415,2022/12,UQ,-11160519,-11160519,,-5.57,-1.85
(주)노브메타파마,069023,2013/12,NA,164741,,,999999999,999999999
(주)노브메타파마,069023,2014/12,UQ,-179360,,,999999999,999999999
(주)뉴라이프비에스티,101324,2021/12,UQ,0,,,-2.3,999999999
(주)뉴라이프비에스티,101324,2022/12,UQ,2402801,,,8.19,999999999
(주)뉴라클사이언스,087120,2017/12,NA,-3269727,,,-33.43,999999999
(주)뉴라클사이언스,087120,2018/12,UQ,-3566897,,,-136.57,999999999
(주)뉴라클사이언스,087120,2019/12,UQ,-4771933,,,999999999,999999999
(주)뉴라클사이언스,087120,2020/12,UQ,-9209366,-9209366,,-6.93,-9.81
(주)뉴라클사이언스,087120,2021/12,UQ,-10879641,-10879641,,-7,-13.53
(주)뉴라클사이언스,087120,2022/12,UQ,-12790031,-12790031,,-6.76,-12.61
(주)드림씨아이에스,063299,2012/12,UQ,2803557,,,999999999,999999999
(주)드림씨아이에스,063299,2013/12,UQ,129309,,,448.88,999999999
(주)드림씨아이에스,063299,2014/12,UQ,-3470757,-3470757,,1657.62,999999999
(주)드림씨아이에스,063299,2015/12,UQ,-1051657,-1051657,,999999999,999999999
(주)드림씨아이에스,063299,2016/12,UQ,-2910331,-2910331,,-183.71,999999999
(주)드림씨아이에스,063299,2017/12,UQ,1651125,1651125,,-39.74,-46.92
(주)드림씨아이에스,063299,2018/12,UQ,4851843,4851843,,191.06,999999999
(주)드림씨아이에스,063299,2019/12,UQ,4282766,4282766,,98.01,999999999
(주)디앤디파마텍,090160,2019/12,UQ,-4092119,-4092119,-22023255,-0.41,2.26
(주)디앤디파마텍,090160,2020/12,UQ,-6304739,-6304739,-48579646,-2.13,-1.35
(주)디앤디파마텍,090160,2021/12,UQ,-12342103,-12342103,-51945255,-33.33,-49.11
(주)디앤디파마텍,090160,2022/12,UQ,0,0,-53083231,999999999,999999999
(주)디티앤씨알오,094818,2019/12,NA,-180660,,,-39.68,-41.35
(주)디티앤씨알오,094818,2020/12,UQ,-276402,,,4.07,11.75
(주)디티앤씨알오,094818,2021/12,UQ,6055996,6055996,,41.1,41.95
(주)라이트팜텍,076100,2015/12,NA,2117256,,,175.56,999999999
(주)라이트팜텍,076100,2016/12,UQ,808270,,,120.16,999999999
(주)라이트팜텍,076100,2017/12,UQ,-817096,,,3.17,6.97
(주)라이트팜텍,076100,2018/12,UQ,-288242,,,-28.95,-365.75
(주)라이트팜텍,076100,2019/12,UQ,-1160949,,,1.93,9.03
(주)라이트팜텍,076100,2020/12,UQ,1103132,,,-3.2,999999999
(주)라이트팜텍,076100,2021/12,UQ,2194795,,,-10.8,-2.67
(주)라이트팜텍,076100,2022/12,UQ,361060,,,-0.93,-0.18
(주)라이프코드,040971,2012/12,DU,-301933,,,-0.95,-11.42
(주)랩지노믹스,045259,2012/12,UQ,877271,,,8.97,9.69
(주)레고켐바이오사이언스,058143,2012/12,UQ,-2309833,-2309833,,-1050.96,999999999
(주)마리아바이오텍,045231,2014/12,QS,-2163569,,,-5.48,-9.29
(주)메드팩토,086963,2018/12,UQ,-8123614,-8123614,,-23.52,-120.52
(주)메디젠휴먼케어,070091,2013/12,NA,-1292508,,,-31.83,-32.07
(주)메디젠휴먼케어,070091,2014/12,UQ,-903671,,,-34.06,-41.71
(주)메디헬프라인,074524,2014/12,NA,300646,,,0.38,15.93
(주)메디헬프라인,074524,2015/12,UQ,-124142,,,-1.09,999999999
(주)메디헬프라인,074524,2016/12,UQ,-546356,,,-19.59,999999999
(주)메디헬프라인,074524,2017/12,UQ,112560,,,38.07,999999999
(주)모아데이타,089247,2018/12,NA,25014,,,31.28,31.25
(주)모아데이타,089247,2019/12,UQ,794688,,,17.82,17.85
(주)모아데이타,089247,2020/12,UQ,654157,654157,,4.99,4.88
(주)무진메디,085893,2017/12,NA,-650452,,,-179.19,999999999
(주)무진메디,085893,2018/12,UQ,-1239977,,,-58.91,-105.26
(주)무진메디,085893,2019/12,UQ,-1399362,,,-76.44,-100.62
(주)미래셀바이오,093809,2020/12,UQ,-2243441,-2243441,,-14.78,-15.59
(주)미래셀바이오,093809,2021/12,UQ,-2990135,-2990135,,-7.82,-7.36
(주)바이오리더스,059494,2012/12,UQ,-1870359,-1870359,,-6.24,-11.48
(주)바이오리더스,059494,2013/12,UQ,-1418745,-1418745,,-7.09,-7.54
