회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(의)소망의료재단가나안요양병원,099033,2020/12,NA,0,,,999999999,999999999
(의)소망의료재단가나안요양병원,099033,2021/12,UQ,524355,,,999999999,999999999
(의)소망의료재단가나안요양병원,099033,2022/12,UQ,54903,,,999999999,999999999
(주)가우디코리아,106039,2021/12,NA,4499293,,,5.57,8.12
(주)가우디코리아,106039,2022/12,DS,4630828,,,-0.4,11.55
(주)강남가설산업,091821,2018/12,NA,2886200,,,2.67,2.86
(주)강남가설산업,091821,2019/12,QS,2286388,,,0.21,-0.19
(주)강안교육,096169,2019/12,NA,3031650,,,44.03,47.84
(주)강안교육,096169,2020/12,UQ,522584,,,2.83,2.69
(주)강안교육,096169,2021/12,UQ,39691,,,-0.5,-0.74
(주)강안교육,096169,2022/12,UQ,3764807,,,5.62,5.13
(주)강진베이스볼파크,063861,2012/12,UQ,229758,,,-1.15,-0.85
(주)강촌레일파크,066189,2012/12,NA,-1087608,,,-2.97,-3.38
(주)강촌레일파크,066189,2013/12,UQ,2388185,,,0.22,0.29
(주)강촌레일파크,066189,2014/12,UQ,682978,,,0.81,0.98
(주)강촌레일파크,066189,2015/12,UQ,187393,,,0.94,1.1
(주)강촌레일파크,066189,2016/12,UQ,2084466,,,2.7,2.56
(주)강촌레일파크,066189,2017/12,UQ,2058977,,,4.15,5.13
(주)강호개발,058055,2012/12,UQ,-424700,,,-0.08,-0.25
(주)강호개발,058055,2013/12,UQ,-539452,,,-0.07,0.03
(주)강호개발,058055,2014/12,UQ,-471799,,,-0.16,-0.16
(주)강호개발,058055,2015/12,UQ,-515990,,,-0.09,-0.07
(주)강호개발,058055,2016/12,UQ,-172298,,,-0.21,-0.21
(주)강호개발,058055,2017/12,UQ,-9051477,,,-0.99,-1.11
(주)강호개발,058055,2018/12,UQ,-237712,,,-19.01,-18.96
(주)강호개발,058055,2019/12,UQ,1362989,,,-4.01,-4.03
(주)강호개발,058055,2020/12,UQ,-1862672,,,-1.76,-2.06
(주)강호개발,058055,2021/12,UQ,-4481035,,,-1.19,-1.27
(주)강호개발,058055,2022/12,UQ,-3166882,,,-1.45,-1.5
(주)갤럭시스포츠,068850,2013/12,NA,-184179,,,-2.98,-3.18
(주)갤럭시스포츠,068850,2014/12,UQ,5234,,,0.07,1.69
(주)갤럭시코퍼레이션,100517,2020/12,NA,-357935,,,999999999,999999999
(주)갤럭시코퍼레이션,100517,2021/12,UQ,-3442562,,,999999999,999999999
(주)갤럭시코퍼레이션,100517,2022/12,UQ,-8637469,,,999999999,999999999
(주)거제씨월드,069086,2013/12,NA,-740379,,,-14.89,-17.8
(주)거제씨월드,069086,2014/12,QS,-316436,,,-1.48,-2.34
(주)거제씨월드,069086,2015/12,UQ,-188855,,,-1.03,-2.57
(주)거제씨월드,069086,2016/12,UQ,481385,,,-0.37,-1.05
(주)거제씨월드,069086,2017/12,UQ,937478,,,0.23,2.76
(주)거제씨월드,069086,2018/12,UQ,1285854,,,999999999,999999999
(주)거제씨월드,069086,2019/12,UQ,912173,,,999999999,999999999
(주)건민,029929,2012/12,UQ,-1822135,,,-0.36,3.86
(주)건민,029929,2013/12,UQ,329291,,,0.09,0.09
(주)건민,029929,2014/12,UQ,582114,,,0.28,0.35
(주)건민,029929,2015/12,UQ,362971,,,0.29,0.29
(주)건민,029929,2016/12,UQ,328099,,,0.61,0.66
(주)건민,029929,2017/12,UQ,348328,,,0.88,0.89
(주)건민,029929,2018/12,UQ,631856,,,0.43,0.44
(주)건민,029929,2019/12,UQ,224164,,,0.37,0.42
(주)건민,029929,2020/12,UQ,162029,,,0.01,0.07
(주)건민,029929,2021/12,UQ,429530,,,-0.47,-0.47
(주)건민,029929,2022/12,UQ,455318,,,-0.38,-0.41
(주)건우해양,049380,2012/12,UQ,-633233,,,0.36,0.39
(주)건우해양,049380,2013/12,UQ,924170,,,0.82,0.86
(주)건우해양,049380,2014/12,UQ,352546,,,0.88,1.8
(주)건우해양,049380,2015/12,UQ,240349,,,1.28,1.43
(주)건우해양,049380,2016/12,UQ,279471,,,1.47,1.59
(주)건우해양,049380,2017/12,UQ,66615,,,1.32,1.49
(주)건우해양,049380,2018/12,UQ,340241,,,1.71,1.94
(주)건우해양,049380,2019/12,UQ,135508,,,1.19,1.47
(주)경,049448,2012/12,UQ,20591,,,0.39,5.53
(주)경주버드파크,070794,2013/12,NA,1227667,,,0.73,0.73
(주)경주버드파크,070794,2014/12,UQ,594831,,,1.25,1.25
(주)경주버드파크,070794,2015/12,UQ,418280,,,0.07,0.07
(주)경주버드파크,070794,2016/12,QS,1067204,,,1.23,1.23
(주)경주버드파크,070794,2017/12,UQ,1008572,,,1.23,1.43
(주)경주버드파크,070794,2018/12,UQ,773030,,,1.23,1.47
