회사명,거래소코드,회계년도,감사의견코드,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),이자보상배율(이자비용),이자보상배율(순금융비용)
(유)케이케이홀딩스,096189,2019/12,NA,1134305,,,0.09,999999999
(유)케이케이홀딩스,096189,2020/12,UQ,-830874,,,0.07,999999999
(유)케이케이홀딩스,096189,2021/12,UQ,16475775,,,0.02,-3.05
(유)케이케이홀딩스,096189,2022/12,UQ,6646967,,,-0.56,-17.44
(유)판토스홀딩스,078315,2015/12,NA,-31696,,,999999999,999999999
(유)판토스홀딩스,078315,2016/12,UQ,277811,,,2.52,3.62
(유)판토스홀딩스,078315,2019/12,NA,-24830705,,,-0.39,-3.62
(유)판토스홀딩스,078315,2020/12,UQ,18327023,,,1.34,1.74
(유)판토스홀딩스,078315,2021/12,UQ,6545406,,,-0.15,0.28
(유)판토스홀딩스,078315,2022/12,UQ,-27858119,,,-0.33,0.01
(주)DNSC,063900,2012/12,UQ,-1662706,,,3.87,2.03
(주)DNSC,063900,2013/12,UQ,-608786,,,0.25,-2.02
(주)DNSC,063900,2014/12,UQ,12287839,,,60.45,999999999
(주)DNSC,063900,2015/12,UQ,-1981591,,,-1.2,10.33
(주)DNSC,063900,2016/12,UQ,-896620,,,23.55,999999999
(주)DNSC,063900,2017/12,UQ,-967936,,,-1.85,999999999
(주)DNSC,063900,2018/12,UQ,2835467,,,3.42,6.36
(주)DNSC,063900,2019/12,UQ,-3484615,,,3.35,5.42
(주)DNSC,063900,2020/12,UQ,-1498811,,,2.08,0.2
(주)DNSC,063900,2021/12,UQ,4526717,,,1.49,1.71
(주)DNSC,063900,2022/12,UQ,2546054,,,1.71,1.57
(주)P&I지주,014359,2012/12,UQ,1933935,,,21.47,999999999
(주)P&I지주,014359,2013/12,UQ,3170043,,,15.36,53.46
(주)P&I지주,014359,2014/12,UQ,2323322,,,53.59,999999999
(주)P&I지주,014359,2015/12,UQ,3804001,,,5.59,999999999
(주)P&I지주,014359,2016/12,UQ,-1234887,,,-1.78,6.31
(주)P&I지주,014359,2017/12,UQ,242584,,,-1.93,0.13
(주)P&I지주,014359,2018/12,UQ,-3095043,,,30.76,999999999
(주)P&I지주,014359,2019/12,UQ,-524887,,,999999999,999999999
(주)가가이엔지,093545,2019/12,NA,-132487,,,2.16,2.62
(주)가가이엔지,093545,2020/12,UQ,685741,,,1.34,1.6
(주)가겐투안,043566,2012/12,UQ,479072,,,6.17,999999999
(주)가겐투안,043566,2013/12,UQ,-451792,,,-10.73,999999999
(주)가겐투안,043566,2014/12,UQ,-39141,,,-11.14,999999999
(주)가겐투안,043566,2015/12,UQ,-232332,,,-5.11,999999999
(주)가겐투안,043566,2016/12,UQ,420502,,,-2.35,999999999
(주)가겐투안,043566,2017/12,UQ,402666,,,10.26,999999999
(주)가겐투안,043566,2018/12,UQ,718199,,,13.69,999999999
(주)가겐투안,043566,2019/12,UQ,908724,,,4.24,999999999
(주)가겐투안,043566,2020/12,UQ,-110734,,,999999999,999999999
(주)가겐투안,043566,2021/12,UQ,395863,,,999999999,999999999
(주)가겐투안,043566,2022/12,UQ,-844963,,,999999999,999999999
(주)가나티엠,102513,2021/12,NA,26652,,,-116.79,-84.44
(주)가나티엠,102513,2022/12,UQ,114544,,,-274.99,-279.23
(주)가엘에스앤에스,095714,2019/12,NA,315413,,,70.14,999999999
(주)가엘에스앤에스,095714,2020/12,QS,622891,,,999999999,999999999
(주)가엘에스앤에스,095714,2021/12,UQ,1083137,,,999999999,999999999
(주)가엘에스앤에스,095714,2022/12,UQ,581038,,,999999999,999999999
(주)가장맛있는족발,090173,2018/12,NA,5335879,,,999999999,999999999
(주)가장맛있는족발,090173,2019/12,UQ,6392017,,,999999999,999999999
(주)가장맛있는족발,090173,2020/12,UQ,4433167,,,999999999,999999999
(주)가장맛있는족발,090173,2021/12,UQ,3776099,,,999999999,999999999
(주)강일기업,096822,2019/12,NA,-965433,,,34.2,308.6
(주)강일기업,096822,2020/12,UQ,-1229755,,,-33.03,-22.57
(주)강일기업,096822,2021/12,UQ,-409370,,,-14.08,-6.83
