회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
주)에스엠케이인터내셔날,44046,2022,15.93,21.61,5.77,6.63,158.48,136.81,56.84,54.62,26.71,20.36,48.43,55.19,63.76,1.04,0.9,0.76,2.2,1.94,2.12,1.03,-0.2299999999999999,10.934995143403146,10.93,3.97,20.91,15.95,47.12,2069.34,5.65,37.18,6.48,11.68,46.14,0.8705518928589424,7.33,1.79,4.23,1.18,0.92,2.13,1.61,28.0,1,0,0,0,0.0
디앤씨리치주식회사,78563,2022,2.44,2.47,2.42,51.47,100.68,100.68,13851.97,13847.02,98.05,0.67,4.23,99.92,0.72,27.33,0.25,3.67,6.16,1.92,28.15,11.55,91.03,162.97924296882255,162.98,162.77,66555.73,-63.58,0.0,1006.91,1.36,0.0,28.97,12.66,69.95,0.0469924964532179,2.57,0.07,0.0,0.07,0.07,115.69,0.07,9.0,1,0,0,0,0.0
장우기계(주),39951,2022,-9.92,-15.28,-5.6,-3.77,128.12,110.33,129.88,122.21,36.68,14.95,30.08,68.11,43.5,4.15,1.92,1.19,0.94,0.78,0.51,0.54,-10.04,3.370713958369409,3.37,4.1,1.85,-9.63,-0.97,2408.54,14.26,91.87,9.59,12.39,38.88,1.4878552493881807,4.0,2.64,9.12,1.62,1.51,4.71,2.23,30.0,1,0,0,0,0.0
주식회사삼호도시개발,86699,2020,262.22,302.53,79.86,116.37,2881.31,2145.68,43.79,4.24,26.4,82.1,50.63,85.05,69.55,18.28,4.77,16.98,5.59,4.96,17.64,-1.23,-83.42999999999999,-74.23296204778521,-74.23,-78.06,3646.58,-89.89,11076.4,964.22,18.31,123.14,26.68,63.62,84.26,0.6862218631871152,0.92,0.36,9.15,0.28,0.28,8.94,0.29,10.0,1,0,0,0,0.0
(주)대현상공,46378,2022,14.82,24.88,2.38,3.13,495.32,232.87,19.16,9.85,9.57,32.68,23.83,40.94,83.92,11.15,16.93,11.71,10.45,8.94,11.14,-1.58,-0.4900000000000002,11.598343101693825,11.6,11.14,11.92,-7.34,36.78,6660.58,16.4,147.6,21.56,54.29,66.73,0.7605882335415162,6.69,3.56,4.11,1.45,0.8,1.36,1.96,43.0,1,0,0,0,0.0
주)진우에스엠씨,88707,2022,1.85,2.35,1.3,1.73,87.29,18.42,237.71,118.2,55.51,-4.45,3.44,30.55,29.61,3.28,1.0,1.27,2.96,2.86,3.72,2.32,0.0599999999999996,4.211108006594169,4.21,39.57,-6.24,-0.62,-2.31,4405.27,14.26,28.85,18.93,6.73,64.79,0.7533349157662007,38.16,10.38,1.51,0.79,0.77,1.05,2.87,17.0,1,0,0,0,0.0
주식회사모노글로트홀딩스,92930,2022,-6.72,-8.33,-5.45,-6.06,140.96,17.63,428.2,168.96,65.47,13.1,0.13,45.09,18.93,2.24,0.56,0.47,4.41,4.32,3.77,1.98,-28.39,76.03610198049215,76.04,8.72,258.1,-7.91,591.66,2903.01,8.02,14.97,8.91,5.23,56.01,0.8995147138319896,27.31,15.36,2.94,1.19,1.15,2.56,2.08,8.0,1,0,0,0,0.0
주식회사루첸리,59361,2022,-6.12,-11.15,-3.92,-4.27,161.52,29.22,178.52,170.31,35.15,37.62,0.45,98.77,35.9,1.66,0.61,0.64,2.48,2.48,2.6,1.93,-0.74,7.911799165572357,7.91,8.69,-31.32,-3.37,-29.54,4313.17,31.22,2577.47,34.02,1.89,75.24,0.917672456351517,9.55,6.12,62.63,0.95,0.95,60.6,0.97,21.0,1,0,0,0,0.0
(주)원지팜,99636,2022,-4.57,-17.71,-3.95,-0.43,115.49,88.07,643.61,636.02,22.31,13.25,4.25,98.78,13.45,22.23,2.83,0.29,3.88,3.88,0.4,0.05,0.25,10.73489858757544,10.73,10.35,54.56,12.18,-45.1,1387.54,13.88,31119.7,1.5,19.38,32.25,9.282021905031645,15.59,13.04,14750.03,9.75,9.75,926.67,9.86,4.0,1,0,0,0,0.0
주식회사데이먼인더스트리,98711,2022,-0.34,-0.43,-0.27,-0.48,103.24,30.25,384.33,162.39,63.63,1.09,5.77,34.62,20.65,3.66,0.76,1.25,2.52,2.52,4.2,2.82,2.0200000000000005,13.48448554335989,13.48,37.23,3.96,3.01,4.52,1277.28,7.84,12.78,13.89,8.98,80.5,0.5643629902431431,8.13,6.29,0.89,0.61,0.6,0.88,1.89,10.0,1,0,0,0,0.0
