,회사명,거래소코드,회계년도,부실판단,[U01410000]영업활동으로 인한 현금흐름(*)(천원),이자보상배율(이자비용)
0,주식회사형지에스콰이아,10032,2014,1.0,3794978.0,
1,글로웨이(주),10037,2014,1.0,-22012059.0,-2.72
2,청화산업(주),10042,2015,1.0,1834480.0,0.79
3,홍원제지(주),10062,2014,1.0,-52731.0,-2.1
4,주식회사전주원파워,10128,2016,1.0,29883307.0,-0.2
5,주식회사리오인더스트리,10145,2018,1.0,-829687.0,2.15
6,(주)광일,10179,2022,1.0,-2563835.0,6.38
7,국민일보(주),10185,2018,1.0,-1223451.0,999999999.0
8,주식회사국제종합토건,10187,2014,1.0,366394.0,-0.27
9,(주)남선기공,10199,2018,1.0,-3593360.0,-34.34
10,(주)대동주택,10211,2014,1.0,-855763.0,-0.04
11,(주)대신EDI,10225,2020,1.0,-140222.0,-18.19
12,디와이홀딩스(주),10231,2014,1.0,-1827600.0,0.43
13,동남산업주식회사,10240,2014,1.0,-4247297.0,-2.39
14,(주)디에스아이씨,10253,2014,1.0,-5797767.0,5.68
15,주식회사인희,10257,2016,1.0,-545062.0,0.15
16,동광기연주식회사,10258,2015,1.0,-6844022.0,-112.92
17,(주)동양잉크,10259,2019,1.0,1747654.0,-3.61
18,우양산업개발주식회사,10263,2015,1.0,1244357.0,-22.18
19,(주)부라다,10293,2017,1.0,12459386.0,-32.28
20,부원공업(주),10300,2014,1.0,-596343.0,11.16
21,삼능건설주식회사,10306,2014,1.0,690544.0,-0.39
22,(주)세중아이앤디,10336,2014,1.0,2112624.0,-4.33
23,(주)세모,10343,2014,1.0,1569509.0,-0.84
24,주식회사승전상사,10353,2020,1.0,5518979.0,-9.98
25,신원금속주식회사,10359,2022,1.0,-4867460.0,-7.04
26,신한모방(주),10362,2014,1.0,108274.0,0.34
27,영화기업(주),10384,2016,1.0,796843.0,-0.02
28,월드건설주식회사,10403,2016,1.0,-110271.0,999999999.0
29,제일흥업주식회사,10428,2014,1.0,-1530832.0,-3.26
30,중앙상선주식회사,10434,2014,1.0,4825636.0,-24.39
31,아비코테크(주),10442,2014,1.0,2552154.0,-1.04
32,(주)삼화고속,10451,2022,1.0,-1270086.0,-4.04
