회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,쭈피처,영업레버리지,재무레버리지,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
성우테크론(주),45300,2014,9.0,13.0,4.0,9.0,76.0,76.0,75.0,62.0,29.0,-9.0,16.0,27.0,57.0,-3.33,-1.99,-4.79,1.9,1.05,2.67,0.73,-5.62,-3.6677610306308512,-3.67,-11.18,-0.55,-5.55,-0.4,11796.0,20.0,30.0,51.0,-9.0,17.0,0.3998547440973661,9.15,1.0,1.0,0.0,0.0,1.0,1.0,27.0,23.0,-13.308823529411764,415.2309879284744,8357.51643287849,593.8319849762809,0.0729467479429813,4.101703991032475,-0.3726909499001272,-1.1519758664693256,13.097146964789655,0,0,1,0,1.0
(주)동일기연,32960,2022,76.0,363.0,5.0,12.0,1981.2999999999988,1533.0,7.0,4.0,1.0,77.0,75.0,81.0,94.0,1.81,1.8,3.92,3.2,1.66,4.13,-3.68,-12.06,0.2450050823090192,0.25,5.04,-16.36,2.26,-1.34,13987.0,21.0,358.0,52.0,7.0,8.0,0.4019327745678375,7.25,1.0,6.0,0.0,0.0,2.0,1.0,38.0,27.0,19.185185185185187,757.3263524136322,12876.46724795393,1763.1559077017218,0.3057524339095687,9.729432897379832,0.9389007156869932,-0.4936571044777812,-13.816738473167044,0,1,0,0,0.0
(주)엔지켐생명과학,183490,2020,-28.0,-34.0,-12.0,-56.0,1073.0,979.0,71.0,14.0,35.0,76.69999999999999,19.0,85.0,59.0,-23.9,-17.75,-67.81,-17.77,-18.3,-74.01,3.4,1.5100000000000016,45.66479297389567,45.66,66.04,-13.57,-17.96,5.78,-7683.0,-6.0,-51.0,-30.0,0.0,0.0,0.2085458234887995,4.02,0.0,2.0,0.0,0.0,1.0,0.0,25.0,6.0,-51.3395031660984,12062.57383088396,-62358.97720052961,33864.40959449398,0.8064024257397806,-0.0952274461841911,0.9935235538190051,0.3099080239153116,-0.2383421114226539,1,0,0,0,1.0
유엔젤(주),72130,2022,-2.0,-8.0,0.0,-1.0,745.0,730.0,13.0,10.0,3.0,55.0,159.0,64.0,88.0,4.16,4.92,7.35,2.12,1.38,2.82,-1.26,-28.94,-1.1229412654350104,-1.12,-7.3,11.96,1.22,3.27,18299.0,30.0,362.2399999999996,59.79999999999999,12.0,18.0,0.492348652731781,9.34,1.0,5.0,1.0,0.0,1.0,1.0,25.0,21.0,47.77777777777778,738.5230987072564,-16240.2201027446,1321.9652112040435,0.4629012924850488,17.67038701912277,0.3950907360859579,-0.7355378934904694,1.0238763080643245,0,0,0,1,0.0
(주)오이솔루션,138080,2022,-1.0,-2.0,0.0,-1.0,255.0,158.0,27.0,26.0,19.0,32.0,60.0,53.0,79.0,-3.89,-4.18,-7.77,-4.08,-4.47,-11.31,0.01,-13.27,-6.89596475789119,-6.9,-7.17,-6.58,-22.02,-5.06,26289.0,14.0,70.0,34.0,-23.0,7.0,0.409504332727928,7.09,1.0,2.0,1.0,0.0,1.0,1.0,21.0,10.0,-32.13324032089292,1266.353526523057,-23431.206258544666,2429.816623531582,0.4135369987662107,-2.7726504790786417,1.3489293586689135,-1.2005793980019857,1.2169121190273158,0,0,0,1,0.0
(주)비피도,238200,2022,80.0,484.0,4.0,13.0,1262.0,1156.0,5.0,4.0,1.0,40.0,45.0,43.0,96.0,3.0,3.09,10.6,3.49,2.31,8.66,-4.33,-6.44,0.5294703345974808,0.53,-5.54,5.75,20.32,-1.91,6559.0,12.0,27.0,45.0,24.0,43.0,0.2653694347022201,9.13,1.0,1.0,0.0,0.0,0.0,1.0,25.0,6.0,37.44493392070485,1324.652922549565,37070.15178342458,4769.321376258918,0.3133120421148559,4.640765377051673,0.6985314490016563,-0.3461307430699869,-13.912643251863663,0,1,0,0,0.0
알에스오토메이션(주),140670,2022,4.0,9.0,2.0,2.0,154.0,96.0,114.0,101.0,23.0,25.0,29.0,72.0,47.0,2.11,1.14,0.85,2.52,2.33,1.87,0.51,-4.42,19.32263445498687,19.32,27.14,2.79,-9.68,2.42,15753.0,18.0,111.0,15.0,6.0,21.0,1.1430628822366922,4.53,3.0,6.0,1.0,1.0,4.0,2.0,15.0,7.0,203.44827586206893,2625.31559996386,79869.28093162473,1071.5308510879415,0.1104233344748312,6.991046853876244,2.927054744832115,-0.4693884381175954,0.3374479726616023,0,0,1,0,0.0
(주)청호ICT,12600,2014,-7.0,-9.0,-4.0,-4.0,83.0,40.0,165.0,90.0,48.0,-6.0,5.0,28.0,38.0,-33.34,-14.29,-14.57,-9.61,-10.43,-11.24,2.59,17.369999999999997,-18.84247899031733,-18.84,-32.69,-11.73,-0.63,-3.29,16390.0,17.0,41.0,16.0,-89.0,-39.0,1.0362983400816606,12.18,5.0,2.0,1.0,1.0,1.0,3.0,47.0,34.0,-4.036697247706422,514.3576727879131,-3004.2692717237087,223.03443729101716,0.3346622072419603,-1.2140730009238052,0.8023538585123271,-2.536483479439045,1.6720661344210794,0,0,0,1,1.0
(주)코윈테크,282880,2022,1.0,2.0,0.0,1.0,172.0,146.0,84.0,78.0,18.0,31.0,26.0,73.0,54.0,4.3,3.97,4.95,5.88,5.58,7.35,1.04,-1.1800000000000006,84.4333088022338,84.43,109.1,39.67,89.14,48.03,40644.0,12.0,68.0,20.0,24.0,41.0,0.5850690252598505,5.32,1.0,4.0,1.0,1.0,3.0,1.0,26.0,5.0,-107.4766355140187,1201.1586996773192,72627.91221119162,1114.8550751799671,0.0790250239181569,2.279892095213289,1.402606810166068,-0.0304611466568684,0.0319218088361299,0,0,1,0,0.0
(주)이상네트웍스,80010,2022,33.0,55.0,8.0,18.0,243.0,196.0,30.0,20.0,14.0,22.0,144.0,38.0,77.0,9.09,10.8,17.04,8.96,8.36,19.01,0.18,2.8,6.593997622321767,6.59,0.43,10.68,22.41,-7.62,33003.0,20.0,138.0,47.0,36.0,69.0,0.4262367358635161,9.87,1.0,3.0,1.0,0.0,1.0,1.0,24.0,19.0,14.46927374301676,411.7861986341831,3813.800819908276,740.3997629863153,0.2219443453806788,1.8374432095661728,0.968173973437393,3.332280248863888,-4.859252085411351,0,1,0,0,0.0
