회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,쭈피처,영업레버리지,재무레버리지,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)동남코리아,70118,2022,-18.74,-39.58,-3.41,-27.33,26.09,17.94,22.2,14.91,8.6,-9.02,8.88,3.18,81.83,8.12,15.9,41.50019999999992,-2.62,-2.62,-20.07,2.46,0.0764759629924738,9.947532734525891,9.95,-15.22,11.03,13.48,-0.2,8331.62,10.48,29.13,84.14,60.55,69.18,0.1245950494960929,13.08,5.18,0.35,0.31,0.13,0.14,3.59,30.0,0.4141177955682125,-1.0630579958484556,-0.3938414167792761,76.85377706425999,-1.3227752718365395,1,0,0,0,0.0
실란트로주식회사,90776,2022,24.36,26.27,6.51,7.43,116.38,33.26,36.5,33.9,24.79,4.07,14.42,28.9,73.26,9.67,7.15,7.72,9.57,9.55,10.84,0.67,-0.0588463724677564,1.0352111808813491,1.04,-13.3,8.32,7.48,8.17,5679.17,18.51,30.45,21.12,36.57,55.84,0.8764490259069202,18.96,8.21,1.38,0.93,0.88,1.28,2.82,15.0,0.2605504587838241,3.4046312044178872,1.0975991201042616,0.7023227783735991,-0.4120475117507765,1,0,0,0,0.0
주식회사휴디스텍,98702,2022,8.93,21.11,7.25,2.89,80.98,75.83,431.98,371.79,34.34,-13.3,20.99,56.59,18.8,41.2,7.36,2.56,8.86,8.73,3.22,0.4,-0.7079686752612788,18.03513938939788,18.04,26.64,8.43,18.74,3.38,7029.27,23.55,64.17,9.4,27.27,47.94,2.506060655201295,9.9,5.29,6.94,2.87,2.71,6.01,4.95,16.0,0.0899479325145107,3.7946393486068337,0.9687051212252537,0.4978160399598869,-0.484089216446858,1,0,0,0,0.0
강동냉장(주),21682,2022,1.12,1.42,1.0,21.15,16.46,16.46,812.45,192.38,70.41,-17.61,9.21,3.47,10.96,-16.92,-4.45,-58.27,-0.59,-0.69,-9.09,42.92,-0.3227520386166234,163.19206972988147,158.43209999999948,-56.52,517.49,-63.86,548.73,2742.34,2.8,2.92,59.32,-98.23,-1.81,0.047171538721589,3.54,0.82,0.09,0.08,0.08,0.08,0.82,32.0,1.0908561118070654,-11.00641420935465,0.1803607515628932,0.0208017356734385,-0.0199821854912764,1,0,0,0,0.0
프리머스에이치알(주),96713,2022,-4.32,-11.87,-2.89,-1.15,98.71,98.71,202.23,120.77,24.38,-0.52,37.83,39.44,33.09,12.07,2.47,0.85,2.85,2.46,0.85,0.24,2.215466454035455,37.37623383309047,37.38,38.83,36.44,0.12,36.8,1280.62,15.69,28.4,6.26,13.51,31.83,2.5049143059026795,15.91,7.38,5.24,2.92,2.9,4.77,7.38,26.0,0.0808410905755955,10.509780007363773,1.0046062175267445,0.9488093811882932,-0.2253959458294375,1,0,0,0,0.0
로로피아나코리아(주),43616,2022,-1.5,-4.4,-0.77,-0.51,177.03,51.94,104.67,103.26,17.4,38.86,0.32,89.31,48.86,13.56,7.1,4.14,9.79,9.7,5.66,0.21,-0.024628386430714,33.899392103349825,33.9,35.99,18.68,32.9,17.24,19396.693099999982,30.84,528.45,20.6,20.12,50.58,1.4969165469319583,9.41,6.42,27.69,1.71,1.71,15.21,1.93,30.0,0.4171260777109912,8.372335150480392,1.037382149465912,2.116595229795555,-0.6720192526402166,1,0,0,0,0.0
(주)피.와이.씨,74246,2022,1.95,2.81,1.1,0.77,82.23,33.26,128.58,126.22,39.03,-9.81,6.48,45.4,43.75,2.85,1.23,0.87,2.37,2.33,1.64,0.92,-0.0066493220989534,0.5164352065508211,0.52,7.75,-4.8,36.27,-4.1,1906.48,10.89,21.27,7.69,11.27,50.67,1.4168011095379602,10.49,7.89,2.71,1.42,1.42,2.53,3.24,39.0,0.0681153116397548,5.155347736336952,1.885976390667632,2.191845733653625,-2.422050374536375,1,0,0,0,0.0
주식회사일광엠씨티,66180,2022,-14.46,-19.34,-6.31,-12.85,118.53,112.39,77.39,68.3,32.62,7.14,10.88,45.64,56.37,-5.78,-4.41,-6.84,3.96,3.47,6.78,0.53,-0.1162935155203827,8.477939728941664,8.48,40.28,-8.87,27.29,0.73,570.42,1.83,4.94,3.74,-183.03,-46.33,0.4908757791565856,2.11,1.32,1.3,0.64,0.51,0.86,1.26,15.0,0.0883454232501477,2.302162211741307,-1.0448582536886726,3.433198303368264,-0.558769736864791,1,0,0,0,0.0
(주)원텍,77940,2022,-11.24,-19.96,-7.48,-4.36,91.92,39.78,198.58,191.41,37.45,-5.18,0.22,58.93,33.49,6.51,1.41,0.75,4.53,4.53,2.43,1.72,1.7776147547343613,19.10520675051773,19.11,7.41,41.16,-11.02,54.17,1520.53,8.87,23.07,5.17,14.53,81.3,1.715198450412964,11.83,6.91,5.41,1.88,1.86,4.89,3.01,19.0,0.0281066295823122,2.157671837590134,3.230298230529032,13.401878453924942,-3.004826695727547,1,0,0,0,0.0
터보윈주식회사,89133,2022,-3.41,-3.74,-1.93,-8.22,131.32,74.65,130.71,36.91,51.72,5.01,10.07,21.01,43.35,-4.69,-2.09,-8.86,-1.02,-1.03,-4.4,6.48,-0.0618703671165407,-0.3415828197148585,-0.34,1.73,-0.88,4.54,-0.42,2671.92,3.27,4.19,13.91,-63.72,47.74,0.2350397399928133,2.67,1.9,0.3,0.24,0.23,0.3,1.13,9.0,0.4050756459202005,-8.212651026018028,0.4961519417672463,9.83117818341213,-2.1816385460467624,1,0,0,0,0.0
