,회사명,거래소코드,회계년도,부실판단,[U01410000]영업활동으로 인한 현금흐름(*)(천원),이자보상배율(이자비용)
0,케이알모터스(주),40,2014,1.0,-32451142.0,-4.4
1,(주)천일고속,650,2022,1.0,-1529634.0,-14.38
2,이화산업(주),760,2019,1.0,1375965.0,-2.95
3,신라섬유(주),1000,2015,1.0,-792605.0,-9.55
4,금호전기(주),1210,2014,1.0,3647129.0,-1.18
5,삼성제약(주),1360,2014,1.0,-13583335.0,-13.34
6,(주)에스지글로벌,1380,2014,1.0,-12238476.0,5.07
7,태원물산(주),1420,2022,1.0,286054.0,-15.63
8,피에스텍(주),2230,2020,1.0,4798221.0,-2.34
9,세기상사(주),2420,2014,1.0,-588697.0,-1.9
10,(주)한탑,2680,2015,1.0,1516373.0,0.75
11,(주)신풍,2870,2014,1.0,-15408583.0,-56.28
12,(주)에이프로젠바이오로직스,3060,2014,1.0,-8144952.0,-3.99
13,성보화학(주),3080,2016,1.0,-8419506.0,20.41
14,일성신약(주),3120,2021,1.0,5704073.0,-142.29
15,(주)한국화장품제조,3350,2014,1.0,-233244.0,6.92
16,에이치엘비글로벌(주),3580,2014,1.0,1894388.0,0.94
17,(주)삼영,3720,2015,1.0,2730929.0,-9.02
18,서울식품공업(주),4410,2020,1.0,6161550.0,0.5
19,(주)한국가구,4590,2017,1.0,772983.0,-7.77
20,(주)씨아이테크,4920,2014,1.0,-2554854.0,-4.92
21,(주)한창,5110,2017,1.0,308234.0,-31.09
22,파미셀(주),5690,2014,1.0,-8772027.0,-9.23
23,(주)원림,5820,2020,1.0,5276800.0,0.45
24,(주)인스코비,6490,2014,1.0,-8177998.0,-51.44
25,신송홀딩스(주),6880,2015,1.0,-58713.0,-108079.75
26,보성파워텍(주),6910,2018,1.0,-11375463.0,0.36
27,(주)일신석재,7110,2016,1.0,-566876.0,-6.6
28,(주)미래아이앤지,7120,2014,1.0,-2641181.0,-8.32
29,진양제약(주),7370,2016,1.0,-13469.0,-29.59
30,(주)네이처셀,7390,2016,1.0,-2144437.0,-7.91
31,선도전기(주),7610,2021,1.0,-3997173.0,-17.07
32,원풍물산(주),8290,2014,1.0,-744138.0,1.14
33,일정실업(주),8500,2019,1.0,-9063127.0,-23.03
34,동양철관(주),8970,2018,1.0,234106.0,-3.11
35,참엔지니어링(주),9310,2014,1.0,-1064557.0,-1.32
